id;lat;lon;telegram_id;telegram_username;wordpress_id;description;url;time;stato;github_issue
89;42.771606;13.307664;206464424;;39;Ieri sera siamo stati a cena a Colle (Spelonga). Il capo campo ci ha detto che stavano provvedendo per le linee telefoniche e internet quindi sono apposto. In caso ci fanno.sapere loro.;https://terremotocentroitalia.mmilesi.ml/wp-content/uploads/telegram-bot/39/1472726529.jpg;2016-09-01 10:42:09;1;
90;45.840068;9.661831;63480147;Milmor;7;Test da cestinare;https://terremotocentroitalia.mmilesi.ml/wp-content/uploads/telegram-bot/7/1472726962.jpg;2016-09-01 10:49:22;1;
91;41.913958;12.496349;269780941;verobog;84;#prova #actionaid ciao! Sto provando lo strumento, Veronica Boggini da ActionAid Roma. Segnate mio account Telegram @verobog;https://terremotocentroitalia.mmilesi.ml/wp-content/uploads/telegram-bot/84/1472727067.jpg;2016-09-01 10:51:07;1;https://github.com/emergenzeHack/terremotocentro_segnalazioni/issues/20
